<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.02	22:00:00	1.30495	1.30766	1.30450	1.30736	2003	0	77
2011.01.02	23:00:00	1.30737	1.30742	1.30457	1.30538	2566	0	75
2011.01.03	00:00:00	1.30539	1.30651	1.30354	1.30404	2735	0	80
2011.01.03	01:00:00	1.30405	1.30490	1.30321	1.30403	1910	0	80
2011.01.03	02:00:00	1.30406	1.30451	1.30257	1.30336	1438	0	80
2011.01.03	03:00:00	1.30335	1.30341	1.30154	1.30194	1288	0	80
2011.01.03	04:00:00	1.30213	1.30333	1.30203	1.30267	1415	0	40
2011.01.03	05:00:00	1.30265	1.30381	1.30248	1.30366	2068	0	40
2011.01.03	06:00:00	1.30369	1.30423	1.30051	1.30145	4231	0	42
2011.01.03	07:00:00	1.30146	1.30403	1.30022	1.30316	4444	0	47
2011.01.03	08:00:00	1.30318	1.30508	1.30241	1.30274	3915	0	48
2011.01.03	09:00:00	1.30273	1.30509	1.30257	1.30454	4123	0	40
2011.01.03	10:00:00	1.30458	1.30509	1.30342	1.30422	3309	0	46
2011.01.03	11:00:00	1.30427	1.30830	1.30425	1.30807	4547	0	47
2011.01.03	12:00:00	1.30814	1.31097	1.30774	1.31064	4642	0	48
2011.01.03	13:00:00	1.31070	1.31109	1.30691	1.30708	5327	0	47
2011.01.03	14:00:00	1.30694	1.31184	1.30655	1.31165	5636	0	40
2011.01.03	15:00:00	1.31169	1.31272	1.31014	1.31073	5557	0	40
2011.01.03	16:00:00	1.31075	1.31121	1.30981	1.31055	3282	0	40
2011.01.03	17:00:00	1.31055	1.31175	1.31034	1.31092	3039	0	40
2011.01.03	18:00:00	1.31093	1.31182	1.31067	1.31108	2789	0	80
2011.01.03	19:00:00	1.31107	1.31294	1.31104	1.31272	2510	0	80
2011.01.03	20:00:00	1.31273	1.31453	1.31273	1.31364	1457	0	80
2011.01.03	21:00:00	1.31367	1.31490	1.31344	1.31377	957	0	80
2011.01.03	22:00:00	1.31386	1.31403	1.31276	1.31319	1340	0	75
2011.01.03	23:00:00	1.31320	1.31504	1.31271	1.31402	3044	0	80
2011.01.04	00:00:00	1.31404	1.31667	1.31358	1.31607	3369	0	80
2011.01.04	01:00:00	1.31604	1.31667	1.31496	1.31620	2412	0	80
2011.01.04	02:00:00	1.31617	1.32003	1.31556	1.31977	2608	0	80
2011.01.04	03:00:00	1.31975	1.32266	1.31940	1.32187	3180	0	80
2011.01.04	04:00:00	1.32179	1.32244	1.32063	1.32154	3601	0	43
2011.01.04	05:00:00	1.32150	1.32362	1.32130	1.32320	4249	0	44
2011.01.04	06:00:00	1.32317	1.32822	1.32179	1.32746	5372	0	42
2011.01.04	07:00:00	1.32748	1.32750	1.32355	1.32521	5620	0	40
2011.01.04	08:00:00	1.32527	1.32772	1.32500	1.32689	5840	0	40
2011.01.04	09:00:00	1.32677	1.32786	1.32606	1.32760	4427	0	40
2011.01.04	10:00:00	1.32761	1.32822	1.32555	1.32642	4781	0	40
2011.01.04	11:00:00	1.32631	1.32880	1.32609	1.32741	4488	0	40
2011.01.04	12:00:00	1.32746	1.33245	1.32722	1.33038	6150	0	40
2011.01.04	13:00:00	1.33037	1.33056	1.32732	1.32760	5803	0	40
2011.01.04	14:00:00	1.32758	1.32801	1.32268	1.32278	6964	0	40
2011.01.04	15:00:00	1.32274	1.32494	1.32265	1.32468	5991	0	40
2011.01.04	16:00:00	1.32466	1.32622	1.32363	1.32608	5332	0	40
2011.01.04	17:00:00	1.32607	1.32611	1.32379	1.32422	4184	0	40
2011.01.04	18:00:00	1.32424	1.32488	1.32210	1.32333	3597	0	80
2011.01.04	19:00:00	1.32332	1.32349	1.32198	1.32219	2606	0	80
2011.01.04	20:00:00	1.32221	1.32374	1.32213	1.32347	1535	0	80
2011.01.04	21:00:00	1.32368	1.32400	1.32248	1.32327	1133	0	80
2011.01.04	22:00:00	1.32320	1.32338	1.32199	1.32228	1497	0	80
2011.01.04	23:00:00	1.32229	1.32242	1.32008	1.32086	3597	0	80
2011.01.05	00:00:00	1.32085	1.32413	1.32077	1.32352	3807	0	80
2011.01.05	01:00:00	1.32348	1.32454	1.32291	1.32423	2587	0	80
