Date,Time,Open,High,Low,Close,Tickvol,Spread
2011-01-02,20:00:00,1.30495,1.30766,1.3045,1.30538,4569,75
2011-01-03,00:00:00,1.30539,1.30651,1.30154,1.30194,7371,80
2011-01-03,04:00:00,1.30213,1.30423,1.30022,1.30316,12158,40
2011-01-03,08:00:00,1.30318,1.3083,1.30241,1.30807,15894,40
2011-01-03,12:00:00,1.30814,1.31272,1.30655,1.31073,21162,40
2011-01-03,16:00:00,1.31075,1.31294,1.30981,1.31272,11620,40
2011-01-03,20:00:00,1.31273,1.31504,1.31271,1.31402,6798,75
2011-01-04,00:00:00,1.31404,1.32266,1.31358,1.32187,11569,80
2011-01-04,04:00:00,1.32179,1.32822,1.32063,1.32521,18842,40
2011-01-04,08:00:00,1.32527,1.3288,1.325,1.32741,19536,40
2011-01-04,12:00:00,1.32746,1.33245,1.32265,1.32468,24908,40
2011-01-04,16:00:00,1.32466,1.32622,1.32198,1.32219,15719,40
2011-01-04,20:00:00,1.32221,1.324,1.32008,1.32086,7762,80
2011-01-05,00:00:00,1.32085,1.32513,1.32077,1.32481,10417,80
2011-01-05,04:00:00,1.32486,1.32711,1.32231,1.32483,19497,40
2011-01-05,08:00:00,1.32487,1.32651,1.32031,1.3221,21815,40
2011-01-05,12:00:00,1.32212,1.32249,1.31516,1.31656,26694,40
2011-01-05,16:00:00,1.31657,1.31696,1.31386,1.31525,15156,41
2011-01-05,20:00:00,1.31521,1.31618,1.31451,1.31575,7446,80
2011-01-06,00:00:00,1.31574,1.32004,1.31558,1.31797,10189,75
2011-01-06,04:00:00,1.31793,1.31847,1.3136,1.31404,16083,40
2011-01-06,08:00:00,1.31403,1.3157,1.3125,1.31322,18457,42
2011-01-06,12:00:00,1.31319,1.31552,1.30734,1.30818,22758,40
2011-01-06,16:00:00,1.30817,1.30906,1.30529,1.30898,14510,40
2011-01-06,20:00:00,1.309,1.30929,1.30547,1.30924,9628,80
2011-01-07,00:00:00,1.30921,1.3094,1.30709,1.30715,10236,76
2011-01-07,04:00:00,1.30714,1.3096,1.30708,1.30844,16880,40
2011-01-07,08:00:00,1.30846,1.31024,1.30548,1.30665,19370,40
2011-01-07,12:00:00,1.30666,1.30996,1.29827,1.29997,28278,41
2011-01-07,16:00:00,1.29996,1.30127,1.29447,1.29516,15236,40
2011-01-07,20:00:00,1.29515,1.29623,1.29416,1.29572,1781,80
2011-01-09,20:00:00,1.2962,1.29671,1.29293,1.2937,4310,80
2011-01-10,00:00:00,1.29369,1.29627,1.29288,1.29562,9043,80
2011-01-10,04:00:00,1.29582,1.30204,1.2957,1.30192,16435,40
2011-01-10,08:00:00,1.30194,1.30641,1.30089,1.30269,21035,48
2011-01-10,12:00:00,1.30269,1.30594,1.30192,1.30252,24515,43
2011-01-10,16:00:00,1.30269,1.30349,1.29899,1.30019,12855,43
2011-01-10,20:00:00,1.30018,1.30579,1.29914,1.30538,8307,80
2011-01-11,00:00:00,1.30542,1.31473,1.30542,1.3144,14643,80
2011-01-11,04:00:00,1.31439,1.31716,1.31318,1.31456,18965,40
2011-01-11,08:00:00,1.31455,1.31486,1.31248,1.31435,21145,40
2011-01-11,12:00:00,1.31439,1.31484,1.31099,1.3142,24881,40
2011-01-11,16:00:00,1.31423,1.31523,1.31272,1.31398,14660,40
2011-01-11,20:00:00,1.31403,1.32254,1.31316,1.31843,10388,80
2011-01-12,00:00:00,1.31844,1.32003,1.31797,1.31866,10670,80
2011-01-12,04:00:00,1.31867,1.31917,1.3124,1.31367,17777,40
2011-01-12,08:00:00,1.31367,1.31518,1.31011,1.31154,22787,40
2011-01-12,12:00:00,1.31154,1.31575,1.30822,1.3151,23202,40
2011-01-12,16:00:00,1.3151,1.3205,1.31428,1.31891,18484,40
2011-01-12,20:00:00,1.31893,1.32158,1.31555,1.32042,9385,80
2011-01-13,00:00:00,1.32044,1.32062,1.31634,1.31702,9834,80
2011-01-13,04:00:00,1.31705,1.32122,1.31598,1.32057,17376,40
2011-01-13,08:00:00,1.32058,1.32094,1.31705,1.32028,22056,40
2011-01-13,12:00:00,1.32027,1.33753,1.31917,1.33582,25738,40
2011-01-13,16:00:00,1.33581,1.34059,1.33505,1.33988,15451,40
2011-01-13,20:00:00,1.33985,1.34012,1.33575,1.33811,8612,80
2011-01-14,00:00:00,1.33812,1.33944,1.3372,1.33923,9056,80
2011-01-14,04:00:00,1.33926,1.34999,1.33804,1.34894,18412,40
2011-01-14,08:00:00,1.34893,1.3537,1.34671,1.35232,21863,40
2011-01-14,12:00:00,1.35233,1.35491,1.3473,1.34797,24381,40
2011-01-14,16:00:00,1.34798,1.35179,1.34682,1.35096,14122,40
2011-01-14,20:00:00,1.3509,1.35374,1.35082,1.35361,1602,80
2011-01-16,20:00:00,1.3498,1.35148,1.3485,1.35038,4034,80
2011-01-17,00:00:00,1.35037,1.35126,1.34897,1.3499,7922,80
2011-01-17,04:00:00,1.34989,1.35127,1.33954,1.34002,16569,40
2011-01-17,08:00:00,1.34005,1.34038,1.33561,1.3376,20921,31
2011-01-17,12:00:00,1.33758,1.33836,1.33467,1.33593,20177,41
2011-01-17,16:00:00,1.33593,1.33811,1.33554,1.33672,8131,47
2011-01-17,20:00:00,1.33674,1.33881,1.3359,1.33785,9253,80
2011-01-18,00:00:00,1.33783,1.33995,1.33732,1.33942,11569,80
2011-01-18,04:00:00,1.33943,1.34093,1.33686,1.34024,19850,41
2011-01-18,08:00:00,1.34026,1.34441,1.33954,1.34218,22934,41
2011-01-18,12:00:00,1.34219,1.3471,1.34072,1.34249,23991,40
2011-01-18,16:00:00,1.34254,1.34316,1.33879,1.34103,14244,40
2011-01-18,20:00:00,1.34106,1.34206,1.33885,1.34092,9291,80
2011-01-19,00:00:00,1.34089,1.34142,1.33874,1.33977,12940,80
2011-01-19,04:00:00,1.33978,1.34181,1.33713,1.33785,19648,40
