Date,Time,Open,High,Low,Close
2020-01-02,00:00:00,1.59928,1.60042,1.59847,1.60041
2020-01-02,04:00:00,1.60042,1.60169,1.59928,1.60116
2020-01-02,08:00:00,1.60116,1.60223,1.59998,1.60128
2020-01-02,12:00:00,1.60125,1.60175,1.59746,1.59946
2020-01-02,16:00:00,1.59946,1.60129,1.59891,1.59929
2020-01-02,20:00:00,1.59929,1.6,1.5973,1.59956
2020-01-03,00:00:00,1.59956,1.60438,1.59948,1.6032
2020-01-03,04:00:00,1.60321,1.60486,1.60259,1.60379
2020-01-03,08:00:00,1.60377,1.60621,1.60304,1.60544
2020-01-03,12:00:00,1.60545,1.60587,1.60267,1.60497
2020-01-03,16:00:00,1.60494,1.60598,1.60402,1.60481
2020-01-03,20:00:00,1.60479,1.6052,1.60469,1.60506
2020-01-05,20:00:00,1.60814,1.6095,1.60712,1.60726
2020-01-06,00:00:00,1.60724,1.60906,1.60493,1.60836
2020-01-06,04:00:00,1.60836,1.60945,1.60672,1.60739
2020-01-06,08:00:00,1.60737,1.61266,1.60627,1.61247
2020-01-06,12:00:00,1.61248,1.61507,1.61015,1.61382
2020-01-06,16:00:00,1.61377,1.61465,1.6127,1.61395
2020-01-06,20:00:00,1.61395,1.61429,1.61248,1.61385
2020-01-07,00:00:00,1.61382,1.61537,1.61312,1.61346
2020-01-07,04:00:00,1.61347,1.61969,1.61346,1.61928
2020-01-07,08:00:00,1.61928,1.62699,1.6179,1.62603
2020-01-07,12:00:00,1.62602,1.62604,1.6212,1.62209
2020-01-07,16:00:00,1.62207,1.6238,1.62172,1.62244
2020-01-07,20:00:00,1.62243,1.62724,1.62222,1.62596
2020-01-08,00:00:00,1.62597,1.62915,1.62104,1.62323
2020-01-08,04:00:00,1.62323,1.62353,1.61982,1.62036
2020-01-08,08:00:00,1.62033,1.62162,1.61834,1.61941
2020-01-08,12:00:00,1.61941,1.62358,1.61892,1.62208
2020-01-08,16:00:00,1.62207,1.62263,1.61616,1.61692
2020-01-08,20:00:00,1.61692,1.61857,1.61632,1.61635
2020-01-09,00:00:00,1.61633,1.61824,1.61584,1.61766
2020-01-09,04:00:00,1.61766,1.61839,1.61577,1.6166
2020-01-09,08:00:00,1.61661,1.6205,1.61618,1.61914
2020-01-09,12:00:00,1.61914,1.62073,1.61835,1.61984
2020-01-09,16:00:00,1.61982,1.62162,1.61903,1.621
2020-01-09,20:00:00,1.621,1.621,1.61895,1.62081
2020-01-10,00:00:00,1.62081,1.62106,1.61693,1.61697
2020-01-10,04:00:00,1.61696,1.61696,1.61402,1.61482
2020-01-10,08:00:00,1.61483,1.61558,1.61083,1.61144
2020-01-10,12:00:00,1.61148,1.61388,1.60904,1.60923
2020-01-10,16:00:00,1.60919,1.61248,1.60917,1.60953
2020-01-10,20:00:00,1.60956,1.61056,1.60954,1.61029
2020-01-12,20:00:00,1.6114,1.6117,1.60972,1.61079
2020-01-13,00:00:00,1.61083,1.61133,1.6081,1.60899
2020-01-13,04:00:00,1.60899,1.6097,1.60842,1.60845
2020-01-13,08:00:00,1.60846,1.61215,1.60846,1.61153
2020-01-13,12:00:00,1.61155,1.61307,1.60947,1.61238
2020-01-13,16:00:00,1.61237,1.6129,1.61095,1.61277
2020-01-13,20:00:00,1.61276,1.61414,1.61245,1.61402
2020-01-14,00:00:00,1.61406,1.61689,1.61238,1.61405
2020-01-14,04:00:00,1.61404,1.61509,1.61295,1.61343
2020-01-14,08:00:00,1.61344,1.61591,1.6118,1.6121
2020-01-14,12:00:00,1.61209,1.61293,1.60866,1.61175
2020-01-14,16:00:00,1.61174,1.61407,1.61137,1.61187
2020-01-14,20:00:00,1.61189,1.614,1.61113,1.61384
2020-01-15,00:00:00,1.61384,1.61447,1.61251,1.61394
2020-01-15,04:00:00,1.61394,1.61504,1.61317,1.61382
2020-01-15,08:00:00,1.61381,1.61805,1.61341,1.6168
2020-01-15,12:00:00,1.61678,1.6198,1.61491,1.61512
2020-01-15,16:00:00,1.61512,1.61587,1.61353,1.6152
2020-01-15,20:00:00,1.61521,1.61608,1.61413,1.61449
2020-01-16,00:00:00,1.61448,1.61567,1.61272,1.615
2020-01-16,04:00:00,1.615,1.61548,1.61375,1.61423
2020-01-16,08:00:00,1.61424,1.61467,1.6104,1.6111
2020-01-16,12:00:00,1.6111,1.61537,1.61021,1.6152
2020-01-16,16:00:00,1.61517,1.61635,1.6141,1.61509
2020-01-16,20:00:00,1.6151,1.61523,1.61353,1.61435
2020-01-17,00:00:00,1.61436,1.61757,1.61363,1.6148
2020-01-17,04:00:00,1.6148,1.61509,1.61202,1.6121
2020-01-17,08:00:00,1.6121,1.61298,1.61023,1.61057
2020-01-17,12:00:00,1.61058,1.61352,1.61044,1.61253
2020-01-17,16:00:00,1.61251,1.61354,1.61227,1.61315
2020-01-17,20:00:00,1.61318,1.61323,1.61267,1.61316
2020-01-19,20:00:00,1.61357,1.61371,1.61168,1.61212
2020-01-20,00:00:00,1.61215,1.61321,1.61166,1.61197
2020-01-20,04:00:00,1.61197,1.61335,1.61147,1.61326
2020-01-20,08:00:00,1.61326,1.61539,1.6128,1.61458
2020-01-20,12:00:00,1.61456,1.61622,1.61365,1.61387
2020-01-20,16:00:00,1.6139,1.61426,1.61299,1.61383
2020-01-20,20:00:00,1.61383,1.61437,1.61309,1.61351
2020-01-21,00:00:00,1.61356,1.61856,1.61235,1.61635
2020-01-21,04:00:00,1.61636,1.61845,1.61607,1.6176
2020-01-21,08:00:00,1.61757,1.61987,1.6175,1.61765
2020-01-21,12:00:00,1.61767,1.61894,1.6167,1.61784
2020-01-21,16:00:00,1.61785,1.62104,1.61765,1.62072
2020-01-21,20:00:00,1.62076,1.62086,1.61848,1.61889
2020-01-22,00:00:00,1.61887,1.62296,1.61872,1.61963
2020-01-22,04:00:00,1.61964,1.62092,1.61921,1.62091
2020-01-22,08:00:00,1.6209,1.62263,1.61792,1.61798
2020-01-22,12:00:00,1.61799,1.61976,1.61705,1.61955
2020-01-22,16:00:00,1.61956,1.62212,1.61907,1.621
2020-01-22,20:00:00,1.621,1.62168,1.62023,1.62168
2020-01-23,00:00:00,1.62169,1.62204,1.61226,1.6132
2020-01-23,04:00:00,1.61323,1.61623,1.61272,1.61367
2020-01-23,08:00:00,1.61367,1.61553,1.61223,1.6146
2020-01-23,12:00:00,1.61462,1.6161,1.61091,1.61333
2020-01-23,16:00:00,1.61328,1.61655,1.61279,1.6159
2020-01-23,20:00:00,1.61589,1.61638,1.6143,1.61533
2020-01-24,00:00:00,1.6151,1.61583,1.61332,1.61366
2020-01-24,04:00:00,1.61367,1.61495,1.61312,1.61444
2020-01-24,08:00:00,1.61445,1.61448,1.61065,1.61145
2020-01-24,12:00:00,1.61145,1.6167,1.61115,1.6148
2020-01-24,16:00:00,1.61479,1.61781,1.61392,1.61644
2020-01-24,20:00:00,1.61646,1.61656,1.61519,1.61643
2020-01-26,20:00:00,1.61879,1.62085,1.61736,1.62084
2020-01-27,00:00:00,1.62084,1.62168,1.61858,1.61981
2020-01-27,04:00:00,1.61982,1.62505,1.6197,1.62504
2020-01-27,08:00:00,1.62501,1.62888,1.62378,1.62841
2020-01-27,12:00:00,1.62841,1.63019,1.62703,1.62915
2020-01-27,16:00:00,1.62914,1.63129,1.62872,1.63013
2020-01-27,20:00:00,1.63015,1.63033,1.62941,1.62961
2020-01-28,00:00:00,1.6296,1.63275,1.62959,1.63085
2020-01-28,04:00:00,1.63084,1.63112,1.62926,1.63071
2020-01-28,08:00:00,1.63071,1.63552,1.6307,1.6307
2020-01-28,12:00:00,1.63071,1.63131,1.62816,1.62909
2020-01-28,16:00:00,1.62908,1.63172,1.62884,1.63166
2020-01-28,20:00:00,1.63167,1.63171,1.62901,1.62947
2020-01-29,00:00:00,1.62948,1.63065,1.62503,1.6253
2020-01-29,04:00:00,1.6253,1.62872,1.62528,1.62816
2020-01-29,08:00:00,1.62817,1.63083,1.62709,1.62998
